ds,yhat,yhat_lower,yhat_upper
2024-12-19,10139982.880488431,9110874.290582594,11227318.9588851
2024-12-20,10443195.594962414,9359808.350288264,11555043.036025528
2024-12-21,12035092.729230015,11019705.960371854,13096596.535075463
2024-12-22,13379215.535071315,12298671.363605684,14541836.022436075
2024-12-23,11078116.831917053,10006637.894753246,12119086.057430003
2024-12-24,11198448.58762395,10083981.032583244,12362538.932372568
2024-12-25,11323257.026748136,10287154.884634888,12340470.238606997
2024-12-26,11337035.834152287,10313825.883443827,12344432.6247399
2024-12-27,11361281.75763965,10261732.719966788,12391593.269131428
2024-12-28,12652257.078101497,11636323.82949664,13679727.906600896
2024-12-29,13678532.452195715,12590335.533496406,14696392.773371555
2024-12-30,11046852.517291907,10031154.177203907,12114717.813075334
2024-12-31,10834511.369592052,9768346.240991138,11855230.973798083
2025-01-01,10629697.816098146,9641737.848290527,11730626.122015174
2025-01-02,10323475.105307195,9298343.062684199,11323442.79896368
2025-01-03,10043822.896057095,8972523.702640606,11062093.139405359
2025-01-04,11053838.516191145,10021654.309228515,12142774.214149844
2025-01-05,11826563.602302378,10788709.90306152,12883722.180398785
2025-01-06,8971331.96951511,7933293.304990724,10098100.483832978
2025-01-07,8573475.769052602,7616591.386100047,9624000.177681798
2025-01-08,8222789.154100797,7164856.423735021,9310187.92429276
2025-01-09,7812526.444284958,6759068.227776737,8881467.770748245
2025-01-10,7472043.525341711,6503403.400803099,8467600.030421434
2025-01-11,8465569.081420729,7500763.452277032,9485963.855463814
2025-01-12,9264460.82529437,8235156.2462804895,10318099.830735903
2025-01-13,6474192.144218373,5521067.362047383,7542991.052866297
2025-01-14,6181552.003519018,5176215.863162061,7200280.924945118
2025-01-15,5971392.328506597,4908701.413211963,7007703.614191938
2025-01-16,5732807.7803992005,4614386.969730353,6743630.028573786
2025-01-17,5590533.358632669,4537736.068971879,6647552.442996858
2025-01-18,6804431.8860383835,5702457.650049783,7874443.202197756
2025-01-19,7839311.834303295,6814423.433765485,8869082.91105509
2025-01-20,5292667.100031342,4241550.1061456725,6354941.143672371
2025-01-21,5249464.47808345,4175570.623273213,6377685.050805394
2025-01-22,5287245.744097869,4146404.411189484,6304765.507611111
2025-01-23,5289535.509583613,4306774.120843838,6356194.163020396
2025-01-24,5376015.973229015,4376506.339613739,6408719.840269955
2025-01-25,6802725.775131406,5839460.184747845,7894504.992452942
2025-01-26,8029409.094427674,6935692.667195659,9114079.236518305
2025-01-27,5647953.868416702,4561115.141350685,6636464.77224092
2025-01-28,5744689.509195348,4648385.063734742,6694295.328742281
2025-01-29,5893746.043294538,4891311.568013356,6907317.512391601
2025-01-30,5977574.937176372,4874759.0317909205,7048381.518516909
2025-01-31,6115771.721710993,5032788.455122296,7184158.845649931
2025-02-01,7565846.423107316,6503438.079113285,8557448.92255989
2025-02-02,8787957.523496797,7703698.795827885,9809624.251575263
2025-02-03,6373899.635991631,5290793.72017659,7475236.892859119
2025-02-04,6416763.9649858195,5399434.440095213,7492223.856466441
2025-02-05,6492412.470903621,5467677.430170198,7511990.749009023
2025-02-06,6486978.88660065,5485389.63843476,7529286.497549582
2025-02-07,6524219.17512967,5468080.359943044,7466807.137464446
2025-02-08,7866749.333135322,6886279.659980084,8896141.495124558
2025-02-09,8978078.468022136,7917560.737415601,10066639.011214258
2025-02-10,6452080.72169905,5407421.869114205,7450213.03345497
2025-02-11,6389975.294020621,5367421.1663237475,7434273.238293623
2025-02-12,6369895.337891685,5406017.779985749,7492559.055338909
2025-02-13,6281371.970941766,5197428.205126214,7305676.525325472
2025-02-14,6251238.039024295,5296767.427760121,7262047.806140562
2025-02-15,7545380.376193872,6518018.875720028,8592691.966112165
2025-02-16,8628139.049665598,7614909.510280123,9633914.507840075
2025-02-17,6092348.370300134,5013705.908367592,7180580.031667407
2025-02-18,6043736.456189258,5058893.996157805,7137509.52028521
2025-02-19,6058700.938166878,4993879.739496546,7073440.74709645
2025-02-20,6025896.816742643,4950007.397232573,7154932.6678569345
2025-02-21,6070819.618113014,5066028.316925567,7088018.578706691
2025-02-22,7458199.804007839,6367699.894004429,8486093.636616293
2025-02-23,8648893.860674486,7577879.342334526,9638123.22940254
2025-02-24,6230614.540973202,5231732.350783957,7293174.665350061
2025-02-25,6309861.275576759,5331097.28307575,7293809.369982633
2025-02-26,6458002.152201742,5420529.669980416,7442742.654443143
2025-02-27,6560050.6115883915,5489592.873841033,7657530.730986467
2025-02-28,6737996.346404022,5633632.412912066,7835685.366644849
2025-03-01,8253891.901950631,7220564.870320419,9283662.141046999
2025-03-02,9564266.223265924,8480681.117769502,10657063.044323394
2025-03-03,7251554.772910148,6124793.614513516,8352196.296268313
2025-03-04,7423551.501816772,6356551.927996801,8517016.100296604
2025-03-05,7647768.493900858,6616843.738492246,8800541.344138073
2025-03-06,7807354.730884192,6736076.613027453,8922855.797146035
2025-03-07,8023111.468341161,6918053.601614276,9014018.90843298
2025-03-08,9557193.383073127,8456252.227762584,10625672.814317815
2025-03-09,10864955.058015456,9837335.579382747,12012555.698415974
2025-03-10,8526982.387277307,7509077.454125706,9608680.940026687
2025-03-11,8655961.479056248,7636655.785359795,9740440.713243186
2025-03-12,8819208.45662934,7753647.1928281,9882955.046335703
2025-03-13,8901623.095112164,7863180.577028436,9917042.717798892
2025-03-14,9026284.923770774,7975389.073757361,10036211.555541633
2025-03-15,10458671.600174118,9458855.988312084,11463348.094235923
2025-03-16,11655850.192792673,10631859.327658726,12758681.343181811
2025-03-17,9199033.348791791,8118421.243592963,10262380.227626406
2025-03-18,9207802.275482977,8278370.550345281,10283474.176814055
2025-03-19,9250759.133560117,8237218.810850515,10283165.4153419
2025-03-20,9215484.41167953,8136197.57200967,10282601.139182663
2025-03-21,9227699.68551979,8249123.176000642,10227577.818523543
2025-03-22,10556006.33050422,9495290.566033121,11662637.825295242
2025-03-23,11658441.49755154,10533037.784321945,12645853.611261953
2025-03-24,9115594.829299612,8001410.664233502,10141025.998457678
2025-03-25,9052235.839478137,7986414.46877547,10141754.95313657
2025-03-26,9036151.979531858,7952204.218854195,10068085.588216403
2025-03-27,8955183.463724274,7950905.20178567,10053448.680771742
2025-03-28,8935034.610285861,7942773.636738196,10056756.907229818
2025-03-29,10244620.398854002,9263117.639884647,11338151.653590243
2025-03-30,11340077.463844502,10333954.97702138,12404193.753623875
2025-03-31,8798531.693406692,7731192.627477469,9890563.316078842
